POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA3570,99,203,0,0,15,74,0,3,37,157,59,239,0,6,14,53,17,51,32,118,94,355,0,0,0,8,0,9,10,37,16,50,0,0,3,6,11,20,14,25,28,73,3,4,221,630
POA3571,43,83,0,4,5,30,0,0,17,52,21,88,3,14,3,9,4,11,12,29,33,123,0,0,0,9,0,0,0,0,3,8,0,0,0,0,8,16,8,16,9,22,0,0,82,228
POA3572,15,28,0,0,4,20,0,0,9,41,17,67,0,0,3,7,3,14,8,20,20,87,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,3,3,41,124
POA3573,33,68,0,0,4,23,3,10,17,72,21,103,0,0,0,0,8,26,8,26,31,126,0,0,0,0,0,4,9,14,6,19,0,0,0,0,4,12,4,12,12,34,0,0,77,226
POA3575,98,195,0,6,8,47,4,9,38,167,45,227,0,9,9,27,13,26,19,63,71,292,0,5,6,21,3,3,8,24,19,56,0,4,3,8,8,23,13,28,38,88,3,3,206,575
POA3576,14,28,0,0,0,0,0,0,4,20,4,20,0,0,0,0,0,0,0,0,7,24,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,3,6,0,3,24,58
POA3579,654,1288,12,57,79,386,18,84,246,1013,351,1534,19,75,37,116,111,357,169,545,519,2083,0,3,10,39,10,26,59,175,79,237,8,17,23,38,73,148,97,201,172,443,17,35,1365,3851
POA3580,158,318,3,10,8,35,0,7,43,172,52,225,0,11,11,38,18,49,28,100,84,322,0,8,0,9,0,3,17,35,17,59,0,0,3,10,14,26,18,32,35,90,3,13,284,740
POA3581,19,38,0,0,3,5,0,5,6,35,11,51,3,19,0,6,7,20,14,43,28,90,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,3,0,0,44,133
POA3583,10,23,3,16,3,17,0,0,10,55,21,84,0,5,0,9,7,19,9,32,27,115,0,3,0,0,0,0,0,7,5,9,0,0,0,0,5,11,5,11,9,17,0,0,45,163
POA3584,128,256,0,12,16,73,5,17,65,283,86,378,0,4,8,35,25,76,36,117,128,500,0,0,0,6,0,0,11,29,15,35,0,0,5,7,11,30,14,31,31,70,0,0,283,818
POA3585,1128,2227,17,77,123,598,28,135,589,2326,757,3128,55,213,83,258,178,567,314,1045,1070,4172,3,18,44,154,13,43,209,583,266,798,23,69,39,89,129,265,194,424,461,1225,48,104,2702,7732
POA3586,76,150,3,12,14,58,0,4,47,203,59,279,6,35,8,35,26,80,45,151,110,431,0,0,0,3,0,0,5,13,8,17,0,0,0,3,7,7,7,7,13,31,0,0,193,610
POA3588,45,98,0,6,7,19,5,19,20,80,28,116,5,16,0,6,9,35,14,54,42,170,0,0,0,0,0,0,4,16,4,16,0,0,0,3,6,17,12,22,13,38,3,8,111,305
POA3589,36,65,4,11,4,35,3,10,18,66,27,123,0,5,0,11,14,34,18,53,46,175,0,8,0,0,0,0,0,0,0,8,0,0,0,5,0,0,4,9,5,15,0,0,87,259
POA3590,38,81,3,7,3,17,0,3,30,112,37,141,0,0,3,9,3,15,11,28,47,170,0,0,0,0,0,0,0,5,0,5,3,4,0,3,3,3,4,13,7,14,0,3,91,274
POA3591,22,46,0,0,3,19,0,0,6,32,13,52,0,0,3,4,5,14,4,21,16,69,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,7,0,7,3,8,0,0,45,127
POA3594,61,124,0,0,5,26,3,9,23,93,26,123,3,10,7,12,16,50,22,77,49,199,0,0,3,8,0,0,3,8,6,18,0,0,0,4,3,15,9,14,16,30,3,7,130,360
POA3595,69,135,0,14,3,17,0,0,20,91,26,122,0,0,3,9,14,39,18,52,46,174,0,3,4,20,5,15,16,32,19,70,0,0,0,0,3,12,3,12,26,82,3,9,144,397
POA3596,10,16,0,7,0,10,0,0,3,18,5,35,0,0,0,3,0,0,0,3,9,36,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,0,0,0,4,5,0,0,17,60
POA3597,54,99,3,10,3,9,0,0,21,70,22,90,4,27,6,21,11,24,24,75,42,161,0,0,0,0,0,0,7,12,7,12,0,0,0,3,3,11,3,12,7,16,0,3,104,284
POA3599,13,28,0,0,3,9,0,0,11,37,9,45,0,0,0,0,0,4,0,4,10,47,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,9,3,9,4,15,0,0,28,89
POA3607,15,35,0,0,0,8,0,3,7,36,11,44,0,0,0,0,0,4,0,4,15,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,7,0,0,36,92
POA3608,341,659,3,23,20,77,3,12,107,418,133,530,7,25,19,56,57,171,84,260,216,789,0,3,6,31,3,5,32,84,43,125,3,13,8,19,40,77,46,106,88,229,12,16,648,1696
POA3610,173,342,3,13,22,114,7,33,63,272,100,429,6,33,10,30,31,90,47,148,142,581,0,0,4,18,0,7,21,53,22,72,4,13,3,10,20,41,23,59,48,133,0,4,372,1056
POA3612,246,484,0,10,12,55,3,23,56,220,76,313,12,49,6,23,33,101,52,181,128,487,3,14,0,0,0,3,23,75,28,89,0,9,10,21,25,55,38,84,69,173,4,4,442,1157
POA3614,101,202,4,12,16,69,4,12,67,285,90,380,7,39,6,25,17,47,34,106,119,483,0,0,0,0,0,0,8,25,12,29,0,5,3,5,3,3,10,12,19,36,7,11,249,736
POA3616,591,1153,8,34,61,268,21,76,310,1260,396,1637,29,125,38,140,124,393,196,658,588,2291,3,8,15,56,13,33,76,213,102,314,3,20,16,37,58,118,82,180,180,493,12,30,1375,3971
POA3617,21,38,0,0,0,3,0,0,10,47,15,46,0,9,3,10,4,12,6,25,21,70,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,8,13,8,13,0,3,43,128
POA3618,76,157,0,5,5,31,9,24,41,152,49,214,3,16,4,21,16,56,25,86,82,305,0,0,0,0,0,3,8,22,7,24,0,4,3,8,10,16,11,29,19,51,4,9,187,522
POA3620,923,1843,17,98,96,451,29,116,435,1732,579,2401,42,183,73,240,172,527,297,946,873,3343,3,17,26,102,11,26,132,361,172,507,12,51,31,68,106,233,152,356,333,869,22,47,2154,6102
POA3621,254,501,6,46,34,150,12,38,143,583,185,820,12,55,9,36,54,167,71,251,260,1076,0,0,7,38,4,10,36,94,46,145,0,4,4,10,26,56,33,73,82,218,6,12,600,1797
POA3622,59,121,0,7,3,24,0,0,27,112,33,146,5,9,3,5,9,27,12,46,46,196,0,0,0,9,0,0,4,13,5,17,0,0,3,4,7,14,3,13,9,30,5,13,126,354
POA3623,134,257,0,0,3,14,4,19,39,156,48,189,3,9,3,15,16,57,26,75,72,263,0,3,0,3,0,7,18,47,24,63,3,8,3,6,20,53,30,69,54,130,3,5,258,658
POA3624,67,140,0,8,7,44,0,3,27,115,38,167,4,14,3,14,14,42,24,66,59,236,0,0,0,5,0,0,13,31,10,35,0,0,0,3,15,31,14,33,28,76,0,3,158,451
POA3629,919,1813,20,105,96,466,28,139,411,1617,560,2333,44,199,66,218,161,492,276,911,833,3242,5,25,43,147,21,62,226,637,289,870,12,40,54,103,160,348,225,495,511,1360,30,61,2291,6479
POA3630,2855,5675,59,368,381,1918,78,359,1734,6828,2252,9479,113,500,224,733,472,1495,812,2732,3062,12204,30,155,129,484,54,193,682,1904,898,2733,65,205,164,352,493,1059,717,1609,1618,4347,116,246,7647,22476
POA3631,1159,2297,47,252,189,884,38,167,800,3218,1072,4519,87,352,148,488,293,927,523,1768,1597,6286,3,25,39,153,8,27,105,293,160,488,16,51,28,57,108,240,150,357,306,845,29,56,3087,9484
POA3633,56,119,4,17,10,38,4,20,50,191,62,269,3,10,6,23,19,53,29,88,91,356,0,0,0,0,0,0,6,17,6,17,0,7,0,3,0,3,3,12,7,24,5,3,163,502
POA3634,187,374,0,8,28,120,5,30,104,430,139,592,23,81,20,75,52,162,96,319,238,908,0,0,8,37,0,3,17,49,32,88,0,6,9,17,20,33,30,58,54,145,8,12,485,1444
POA3635,62,128,0,8,3,13,0,3,23,101,30,126,3,10,7,15,22,57,25,79,56,208,0,8,0,3,0,4,6,26,9,41,0,3,3,9,9,22,18,35,29,77,0,0,147,413
POA3636,631,1249,12,86,59,278,15,52,246,987,331,1402,29,117,41,139,107,342,179,598,515,1998,3,5,16,62,10,30,117,323,143,419,12,34,25,59,67,157,105,247,247,664,11,26,1401,3932
POA3637,66,139,9,32,13,50,3,31,33,134,53,243,3,14,10,34,11,45,30,90,81,333,0,0,0,0,0,0,3,15,3,20,0,3,0,0,5,14,6,18,15,36,0,3,165,506
POA3638,249,493,12,47,28,129,7,24,103,433,143,636,8,41,14,51,25,77,54,165,194,801,0,7,10,39,0,3,28,69,42,127,3,16,8,20,30,68,41,100,81,224,9,20,535,1533
POA3639,84,168,0,0,3,15,5,12,16,60,17,82,0,6,0,4,17,50,22,60,41,142,0,0,0,9,0,0,8,27,15,38,0,0,0,0,9,22,9,22,26,64,0,0,151,371
POA3640,104,197,3,24,12,52,4,22,65,289,87,389,3,15,16,46,26,80,41,146,128,531,0,5,3,10,0,0,18,46,19,61,3,10,3,5,11,24,17,37,33,91,0,3,266,818
POA3641,138,267,4,39,18,87,4,20,71,295,95,444,9,41,4,14,24,65,39,123,133,565,0,4,3,6,3,9,17,42,22,62,0,3,3,5,16,34,19,40,44,102,4,16,323,954
POA3644,1109,2190,15,86,101,493,19,96,458,1843,589,2506,34,152,64,200,171,525,267,876,858,3382,3,17,39,131,15,66,149,415,211,625,11,40,33,69,105,216,143,329,356,956,25,42,2342,6574
POA3646,64,134,3,21,3,16,0,5,39,160,44,198,3,6,8,32,13,40,28,78,73,274,0,0,5,9,0,0,11,33,15,38,3,6,3,3,3,11,11,23,23,61,3,4,162,477
POA3647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3649,45,91,0,10,7,23,0,0,20,97,27,123,4,10,3,16,6,24,17,49,45,175,0,3,0,6,0,5,10,23,9,37,0,4,0,0,8,15,10,17,19,54,4,3,115,323
POA3658,641,1259,17,73,69,311,27,100,366,1464,467,1943,37,157,62,209,132,432,237,804,700,2745,4,31,16,52,16,68,115,312,157,465,12,45,37,74,112,242,163,363,316,824,24,45,1681,4878
POA3659,93,182,0,9,11,33,3,12,37,143,48,200,5,22,8,42,21,51,35,111,82,313,0,0,0,3,0,7,11,23,14,34,0,0,0,3,14,39,20,37,30,70,0,3,208,563
POA3660,796,1576,15,62,72,329,21,102,277,1088,387,1580,30,130,54,169,177,548,258,846,640,2433,3,12,24,98,15,65,165,444,211,616,22,70,41,88,144,310,210,473,419,1086,30,59,1891,5149
POA3662,59,111,0,4,6,33,3,9,135,508,148,559,0,4,7,23,3,6,10,34,159,596,0,0,0,3,0,0,3,3,3,8,0,0,0,3,3,5,4,8,8,13,0,0,223,721
POA3663,25,49,0,5,3,9,0,0,11,42,11,62,4,14,0,0,0,0,3,13,17,76,0,0,0,0,0,0,0,8,0,8,0,0,0,3,3,4,3,5,3,12,0,0,51,139
POA3664,137,267,0,0,9,48,4,26,61,244,81,319,0,0,9,28,25,81,38,109,113,425,0,14,0,3,0,0,11,34,19,45,3,7,3,5,13,29,20,42,33,90,0,0,282,781
POA3665,58,110,0,7,7,15,0,0,11,51,22,73,0,3,4,10,11,25,13,46,31,117,0,0,3,7,0,3,7,21,12,32,0,0,0,3,0,3,5,9,11,37,0,0,106,270
POA3666,655,1302,0,8,43,218,4,30,205,821,258,1084,16,65,26,74,73,231,117,375,374,1453,0,0,11,44,3,12,76,213,92,268,10,26,22,46,76,164,106,232,198,499,16,35,1246,3283
POA3669,196,390,0,7,10,48,0,3,45,187,60,244,6,21,9,39,20,63,37,122,98,363,0,0,3,15,0,4,18,58,25,81,0,5,4,8,19,31,24,42,46,122,5,10,350,887
POA3670,77,161,0,4,6,23,0,3,22,89,31,124,3,5,6,24,22,68,29,91,64,215,0,0,3,14,0,0,9,18,12,26,0,0,0,3,6,16,9,19,17,48,0,0,163,425
POA3672,1332,2613,12,67,87,390,17,87,408,1616,524,2163,34,140,68,234,173,549,281,914,809,3074,3,15,43,164,11,48,234,637,292,862,15,37,54,109,158,312,222,466,519,1327,40,88,2699,7101
POA3673,266,523,0,15,22,84,7,26,91,366,120,495,7,40,14,55,26,79,54,170,176,667,0,3,3,7,0,3,10,42,19,52,3,7,0,8,14,25,23,41,40,94,0,4,478,1292
POA3675,251,489,4,19,32,134,5,21,113,428,148,604,9,44,12,35,39,128,63,207,216,812,0,0,3,10,0,7,24,72,28,79,0,4,8,9,15,30,25,50,54,132,3,9,516,1439
POA3677,1951,3866,30,148,158,722,51,225,983,3868,1218,4961,67,267,131,437,265,801,464,1514,1686,6476,12,67,68,231,31,110,390,1047,502,1454,30,101,84,177,286,606,401,882,898,2334,74,150,4610,12827
POA3678,849,1676,16,80,100,442,17,97,378,1549,514,2162,45,182,55,181,154,475,259,836,768,3002,0,11,6,18,6,18,53,133,63,176,4,14,7,15,59,114,72,145,135,322,13,29,1770,5026
POA3682,68,129,6,15,8,22,0,7,46,184,53,234,7,26,0,4,12,49,18,74,77,310,0,0,4,8,0,0,8,18,10,28,0,0,0,0,11,19,11,19,18,47,4,3,161,489
POA3683,227,454,3,16,14,70,4,22,103,411,125,510,9,29,19,58,37,123,65,209,191,718,0,6,6,15,0,3,19,42,23,64,9,20,11,18,24,43,36,86,58,148,3,4,479,1325
POA3685,339,669,4,29,21,92,0,6,154,608,187,733,10,50,19,58,52,165,85,273,271,1011,0,8,12,43,0,0,55,136,70,192,7,17,13,22,38,74,54,113,128,299,15,26,744,2002
POA3687,133,266,4,29,13,49,6,18,63,251,83,347,5,17,10,40,24,72,38,130,123,474,0,10,7,28,0,0,15,26,20,69,3,12,6,16,5,15,15,40,41,104,3,5,295,855
POA3688,147,290,0,8,17,79,3,25,88,343,112,451,4,23,11,29,28,81,40,137,155,595,0,0,3,9,3,11,14,38,22,58,0,3,3,8,17,32,23,44,40,102,0,3,340,988
POA3690,3442,6796,58,320,365,1683,81,372,1996,7756,2495,10136,166,678,267,863,526,1621,957,3163,3458,13296,22,93,144,521,67,243,834,2294,1060,3157,55,178,180,392,479,990,720,1563,1781,4719,122,243,8797,25055
POA3691,1060,2075,25,121,144,666,30,120,681,2756,873,3659,49,212,109,364,185,561,347,1133,1223,4795,0,3,17,67,12,36,132,335,161,441,12,37,24,51,60,128,100,214,257,662,14,24,2550,7552
POA3694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3695,57,109,3,11,13,45,0,7,33,117,40,177,4,13,3,12,13,44,24,70,64,250,0,0,3,3,0,0,4,20,8,24,0,3,0,3,9,12,8,16,15,38,0,0,137,401
POA3697,84,156,0,0,3,25,0,3,36,139,41,162,0,4,14,42,8,36,24,78,67,240,0,0,0,3,0,0,7,10,4,13,0,5,3,7,0,3,8,13,14,26,0,0,158,424
POA3698,139,271,0,6,7,42,0,4,39,169,55,220,0,0,16,38,8,18,17,63,75,282,0,0,0,0,0,0,5,20,9,22,0,3,0,8,6,18,11,28,21,47,0,0,234,602
POA3699,97,184,0,0,3,12,0,4,61,241,64,262,0,3,3,9,9,20,9,34,74,295,0,0,6,15,0,4,22,50,29,71,3,8,9,18,8,23,17,42,47,117,4,4,225,595
POA3700,175,342,8,35,14,54,3,15,65,251,83,350,3,20,10,37,20,58,32,110,119,461,0,8,9,22,0,0,19,53,24,80,0,3,4,10,18,33,26,53,53,128,0,4,349,933
POA3701,173,340,0,7,13,55,0,7,57,239,67,304,6,18,14,39,11,40,35,101,101,400,0,0,5,15,3,9,4,11,10,39,0,0,0,3,9,11,5,12,19,51,3,5,296,796
POA3704,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17
POA3705,40,84,0,0,4,22,3,8,11,41,15,78,0,0,5,11,3,7,8,14,20,95,0,0,0,0,4,8,0,0,0,11,0,0,0,0,0,3,0,4,6,15,0,0,69,191
POA3707,231,461,0,0,23,103,3,10,90,354,116,470,6,20,14,49,24,71,40,137,159,610,0,5,0,10,0,4,21,50,26,72,0,7,9,11,20,42,27,54,51,123,7,18,446,1210
POA3708,12,21,0,0,0,0,0,0,4,9,4,9,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,4,17,42
POA3709,54,104,0,0,0,10,0,3,7,33,14,50,0,5,6,9,4,12,10,28,22,75,0,0,0,0,0,0,3,3,3,3,0,0,0,3,0,0,0,6,4,11,0,3,81,192
POA3711,77,145,0,0,3,9,3,12,25,98,30,116,3,9,0,0,11,39,12,44,43,159,0,0,0,0,0,0,6,22,6,22,0,0,0,0,4,7,6,10,14,30,0,3,127,336
POA3712,55,105,0,4,0,6,0,4,13,45,17,63,0,3,3,8,4,19,8,30,27,97,0,0,0,0,0,0,3,6,3,6,0,0,0,3,7,10,7,15,6,18,0,0,89,217
POA3713,147,287,0,8,5,27,5,13,30,113,40,153,0,3,6,19,16,38,18,58,59,212,0,0,0,4,0,0,9,24,9,25,0,0,3,6,9,25,15,31,26,51,3,4,228,557
POA3714,479,958,3,23,14,79,6,37,199,770,231,909,9,42,28,78,61,190,96,309,324,1218,0,0,12,38,0,0,33,81,45,122,0,5,6,12,45,97,58,115,101,240,3,11,911,2418
POA3715,44,97,0,4,4,20,0,0,10,53,14,75,0,0,3,8,3,9,7,15,21,88,0,0,0,0,0,5,3,3,3,9,0,0,0,0,3,4,3,4,4,13,0,0,79,201
POA3717,385,751,4,25,29,128,8,42,127,501,170,696,12,53,11,40,47,135,69,227,238,922,0,7,3,15,0,0,35,105,41,129,3,15,16,27,31,62,45,101,90,228,12,17,715,1922
POA3718,11,25,0,0,0,0,0,0,4,8,4,8,0,0,4,8,0,3,4,13,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,3,6,0,0,25,52
POA3719,74,151,0,0,4,10,0,3,14,47,15,63,3,8,3,3,5,20,8,30,29,96,0,0,3,6,0,0,6,11,7,20,0,3,0,0,0,5,3,12,12,27,0,0,110,276
POA3720,83,164,0,0,4,19,0,6,20,90,26,115,0,4,4,25,5,19,13,47,43,159,0,0,0,4,0,0,10,25,7,26,0,0,4,6,3,13,7,15,18,47,0,4,148,372
POA3722,557,1098,13,52,43,189,9,29,314,1283,374,1559,18,69,33,97,94,275,145,439,512,1998,0,8,11,40,5,19,69,183,95,256,3,15,18,42,49,97,72,157,170,406,15,23,1256,3532
POA3723,397,774,0,0,21,85,3,15,116,460,140,561,10,35,21,60,33,91,63,189,199,750,0,0,0,4,4,7,33,84,39,91,3,9,6,16,32,67,40,90,77,186,4,6,678,1716
POA3725,90,182,0,3,5,26,0,4,36,143,43,177,0,17,4,17,18,52,24,83,70,259,0,0,0,0,0,0,10,20,10,20,0,0,0,3,3,6,7,8,12,31,3,6,173,475
POA3726,56,121,0,4,3,20,0,0,19,74,23,101,0,5,8,25,5,14,13,45,37,145,0,0,0,0,0,4,4,11,7,12,0,0,0,3,5,19,6,19,15,34,0,0,110,299
POA3727,36,77,0,5,3,12,0,3,16,61,20,82,3,11,3,9,10,27,14,50,37,131,0,0,0,0,0,3,3,10,3,12,0,0,3,8,0,3,7,10,7,21,4,3,79,230
POA3728,93,177,0,8,3,12,0,8,23,109,31,136,4,17,6,13,8,37,21,66,52,204,0,0,3,9,0,0,9,34,15,37,3,7,0,9,7,16,16,27,29,71,3,6,172,458
POA3730,1151,2291,12,71,59,274,24,119,441,1792,537,2255,26,111,69,203,132,410,227,724,770,2979,10,38,16,51,16,56,158,426,192,557,6,23,16,37,104,216,128,278,322,837,17,42,2260,6156
POA3732,80,152,3,10,10,65,0,4,28,106,44,180,3,9,4,21,11,38,20,60,63,241,0,0,3,21,0,4,11,22,11,43,3,3,0,3,3,4,11,11,19,57,0,3,166,456
POA3733,31,61,0,0,4,12,0,7,10,50,18,67,0,0,3,9,3,10,3,14,20,84,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,0,0,0,3,8,0,0,56,154
POA3735,88,177,0,4,3,19,3,10,38,146,44,171,4,19,6,11,18,47,27,78,69,248,0,0,0,3,0,0,8,12,4,19,0,0,3,3,6,16,12,23,17,39,3,9,175,466
POA3737,563,1112,12,54,50,231,15,55,189,770,261,1106,24,87,42,126,81,248,142,464,406,1571,0,3,14,46,3,9,64,173,80,231,4,14,17,35,60,131,83,183,164,414,18,36,1145,3128
POA3738,35,72,0,10,0,0,0,4,10,32,14,45,0,0,0,0,8,22,4,20,16,70,0,0,0,3,0,0,3,13,3,12,0,0,0,0,3,3,3,3,10,16,0,3,61,158
POA3739,29,63,0,0,0,12,0,0,7,38,11,50,0,0,0,3,4,10,5,12,17,68,0,0,0,3,0,0,3,16,3,21,0,0,0,3,0,3,3,6,10,23,4,6,56,158
POA3740,152,299,0,9,6,41,3,13,65,241,76,303,7,19,12,26,21,61,30,106,111,407,0,0,0,0,0,6,19,53,20,60,0,5,3,11,8,20,18,36,39,92,3,3,302,802
POA3741,413,795,3,13,25,113,10,26,136,523,171,676,8,39,26,82,45,141,86,256,257,931,0,3,9,26,0,0,49,119,59,151,3,9,6,11,27,52,40,80,93,227,5,15,766,1974
POA3744,57,112,0,7,7,30,0,3,33,120,37,159,0,12,0,0,5,21,12,31,50,190,0,0,0,4,0,0,6,15,3,15,0,0,0,0,3,13,3,13,13,26,0,0,120,331
POA3746,55,112,3,9,3,14,3,6,20,70,24,101,0,8,0,6,8,23,9,40,36,147,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,8,3,7,3,7,3,4,105,268
POA3747,579,1135,6,29,48,201,7,31,246,969,304,1232,10,50,31,95,68,217,113,364,421,1596,0,3,13,44,3,13,62,157,85,218,3,17,25,48,70,142,101,206,180,423,11,27,1191,3186
POA3749,246,488,4,26,24,89,3,21,120,475,151,615,11,39,27,85,35,114,74,237,225,855,3,4,7,15,4,4,22,55,30,81,0,0,3,4,9,20,10,31,43,114,3,3,513,1454
POA3750,686,1384,16,116,82,386,25,125,1146,4298,1265,4929,38,164,51,184,125,427,219,776,1484,5709,8,46,18,60,9,32,131,352,167,496,14,54,22,49,74,167,104,271,273,764,29,69,2466,7924
POA3751,31,55,0,3,3,14,0,3,10,55,17,81,0,11,3,14,10,41,14,66,35,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,6,4,8,3,3,69,214
POA3752,1587,3203,58,333,389,1764,110,481,2193,8538,2745,11109,253,1090,279,1027,597,1962,1130,4079,3878,15188,18,67,70,243,43,163,334,913,466,1387,68,225,87,196,313,707,474,1130,932,2514,74,165,6477,21078
POA3753,194,379,10,42,22,119,9,57,236,924,275,1139,15,63,15,49,57,202,85,316,363,1455,0,5,3,6,0,5,39,103,45,128,3,14,5,16,15,24,21,48,69,177,9,15,627,2022
POA3754,2760,5525,64,360,464,2183,113,503,4088,15762,4731,18801,237,1009,283,985,581,1863,1102,3856,5833,22661,20,87,123,441,63,222,800,2257,1007,3010,81,258,151,349,444,989,681,1594,1685,4599,90,191,10372,32979
POA3755,35,72,4,11,0,0,3,9,13,44,15,74,3,8,5,10,12,34,11,46,32,121,0,0,0,0,0,0,0,6,0,7,0,0,3,3,6,16,9,18,11,23,0,3,79,219
POA3756,974,1931,34,201,169,812,58,260,873,3461,1143,4729,101,430,111,356,277,891,486,1681,1627,6408,14,60,39,127,26,84,217,627,295,905,15,53,54,114,158,339,227,512,520,1413,20,54,3143,9806
POA3757,795,1566,16,94,122,580,41,195,585,2353,763,3230,63,256,100,334,249,810,413,1401,1178,4637,6,40,37,135,5,23,116,311,166,511,17,52,37,83,137,301,190,437,358,950,22,41,2345,7194
POA3758,196,394,10,61,31,137,10,49,160,645,207,894,22,92,22,93,76,247,123,432,331,1320,0,4,5,20,0,12,11,32,21,78,3,14,0,10,35,76,41,97,63,169,0,8,596,1895
POA3759,97,199,0,3,22,95,3,18,54,219,78,332,19,78,23,62,41,123,78,261,153,591,0,0,3,14,0,0,3,11,9,31,0,4,4,18,15,32,25,59,39,85,4,3,289,883
POA3760,29,58,0,0,3,17,0,3,26,98,34,119,9,27,7,29,17,51,34,107,66,226,0,0,0,0,0,0,4,10,4,10,0,0,4,4,5,14,7,16,12,32,0,3,106,314
POA3761,111,222,3,19,25,135,3,17,62,236,92,410,7,31,12,43,49,156,70,238,170,646,0,5,0,0,0,3,17,47,17,53,3,10,8,11,15,31,25,51,44,104,0,3,318,974
POA3762,18,29,0,0,0,6,0,3,4,21,10,28,0,0,7,19,0,6,7,27,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,4,34,92
POA3763,159,309,3,15,25,108,9,45,90,342,121,518,10,55,16,44,40,125,68,221,192,743,0,7,0,10,0,4,14,47,24,59,4,12,3,12,28,51,30,69,56,129,3,7,407,1193
POA3764,865,1726,15,85,129,618,35,149,566,2259,744,3111,42,172,90,306,207,655,336,1136,1078,4242,10,43,39,128,23,71,147,395,216,644,18,44,46,96,122,248,176,389,396,1035,28,69,2366,7070
POA3765,643,1272,17,108,75,346,29,133,452,1793,581,2387,67,275,71,243,200,668,339,1183,912,3570,0,11,15,36,3,21,77,198,98,264,17,47,23,53,101,232,134,328,238,595,18,37,1810,5476
POA3766,142,278,0,0,19,78,3,13,98,376,119,467,7,23,19,56,29,80,45,161,166,623,0,3,6,14,0,0,10,35,18,50,0,3,7,13,11,24,22,42,35,95,3,5,345,1001
POA3767,170,331,0,4,14,61,0,15,77,296,94,377,8,26,23,76,26,81,55,189,147,560,0,8,3,21,0,0,13,28,19,58,4,8,3,11,19,25,20,41,44,100,4,5,362,997
