SED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED70017,590,1213,14,77,40,191,70,403,434,1824,557,2496,11,53,22,60,90,325,122,438,680,2933,9,40,16,58,33,168,184,617,235,884,3,9,6,15,95,260,104,286,337,1164,57,145,1659,5459
SED70018,876,1748,18,87,86,382,40,188,603,2366,744,3021,48,216,77,250,197,601,327,1064,1069,4088,3,17,18,63,11,39,109,289,144,409,5,19,25,47,75,158,107,221,246,636,24,52,2219,6520
SED70019,436,910,42,337,97,523,99,638,661,2744,898,4248,24,129,23,70,78,270,120,471,1020,4720,11,84,30,128,98,632,252,768,392,1618,8,19,29,62,135,412,164,494,559,2115,71,217,2083,7962
SED70020,812,1575,8,50,91,403,14,78,556,2055,677,2586,15,69,52,160,97,299,160,525,834,3109,0,10,14,36,7,21,101,243,120,313,13,36,38,82,82,162,128,282,247,593,36,76,1940,5352
SED70021,1251,2427,3,18,38,151,12,60,508,1789,560,2025,15,59,32,98,54,175,104,336,664,2363,0,0,4,16,3,11,52,129,63,155,5,11,24,53,54,115,89,182,149,339,37,83,2107,5205
SED70022,783,1553,15,94,99,459,26,125,578,2225,717,2903,42,177,75,240,164,507,280,922,1003,3829,3,19,28,101,15,55,155,440,201,617,7,34,23,56,131,292,167,376,367,992,33,67,2185,6433
SED70023,822,1606,12,52,96,445,25,103,850,3238,979,3845,28,115,58,178,110,358,195,651,1179,4491,0,3,11,41,19,69,120,321,151,433,4,12,16,41,78,156,101,205,248,641,28,51,2273,6795
SED70024,412,885,18,114,38,214,98,594,441,2002,596,2923,6,18,6,26,67,247,71,293,671,3214,3,14,9,50,50,265,215,702,279,1035,4,5,3,12,90,272,97,288,375,1320,52,144,1509,5563
SED70025,788,1557,20,122,100,473,34,160,736,2846,889,3598,56,217,87,277,188,607,330,1094,1225,4696,3,24,21,84,12,45,114,293,151,449,8,36,27,61,77,173,119,272,267,722,29,73,2311,7048
SED79494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED80001,6558,13034,151,858,878,3987,226,1007,4830,18690,6088,24540,649,2669,870,2938,1911,6002,3427,11600,9519,36139,53,229,223,749,109,378,1159,3080,1541,4437,180,553,406,881,1144,2462,1725,3899,3264,8337,245,502,19590,58010
SED80002,7722,15273,94,544,752,3453,176,782,5493,20945,6514,25727,394,1607,689,2320,1215,3786,2296,7722,8814,33445,46,218,213,735,84,264,1188,3121,1527,4343,127,393,306,662,982,2090,1421,3146,2949,7488,368,758,19844,56964
SED80003,8330,16183,48,252,670,2903,70,290,4240,15775,5026,19216,268,1046,865,2819,767,2296,1897,6164,6919,25375,15,57,153,507,34,121,842,2014,1039,2698,84,235,346,736,744,1537,1170,2511,2211,5215,296,610,17754,47383
SED80004,8033,15867,108,609,901,4109,157,688,5621,21720,6788,27124,441,1803,1040,3482,1341,4107,2815,9393,9600,36518,22,95,198,668,66,232,1019,2630,1303,3630,131,397,337,746,1058,2199,1522,3344,2826,6976,271,566,20730,59924
SED80005,7789,15464,145,829,1226,5549,230,1025,8622,32703,10224,40107,488,1998,1087,3724,1360,4237,2933,9958,13160,50064,46,206,233,808,75,262,1162,3017,1513,4295,145,472,362,791,855,1854,1366,3115,2878,7413,290,615,24115,73553
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,443,869,3,28,39,164,20,91,273,1072,330,1351,7,41,27,73,65,205,100,314,430,1666,3,9,9,30,9,29,54,147,70,225,3,15,17,35,53,119,74,170,145,392,13,29,1023,2947
SED99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
